deal_id,title,status,stage_id,pd_value,opp_in_twenty,opp_id,gap_reason
478,Public AI Training Convergent Experience,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
477,Public AI Training Convergent Experience,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
476,Public AI Training Bryels Enterprises,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
475,Public AI Training Rachelld,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
474,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
473,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
472,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
471,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
470,Public AI Training Convergent Experience Management Consulting Inc.,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
469,Public AI Training Acceler8 Member,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
468,Public AI Training Galaxy Singapore,open,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
467,Relationship Manager,open,29,0,Y,410f344f-17ae-43a5-aef9-7e58368d5a6e,
466,Chief Creative Officer,open,32,2000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
465,Public AI Training Lokal,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
464,Public AI Training Test,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
463,"[Chatbot, Qualify and route leads] Dona campos",open,6,0,Y,14ccc294-45ef-4df9-b3ce-1d65611416dc,
462,[Qualify and route leads] Krizzia,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
461,[Qualify and route leads] Jimmy Domingo,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
460,[Qualify and route leads] Grace,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
459,[Qualify and route leads] Jimmy Domingo,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
458,[Qualify and route leads] Jessa jane ponce,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
457,Training Form CHARLYN TRINANES,open,2,0,Y,a3e454b7-ba34-4074-ba61-7d8f42ea8103,
456,Training Form Rossietess Mabanag,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
455,Web Design Lead Angelica Misa,open,19,0,Y,7f5fa916-8063-43e0-a96a-f5a384ea0e37,
454,Marketing Services Lead Mariah Johansson,open,19,0,Y,6d1c48d9-a494-4ca9-97e7-2cabe63ef754,
453,[Qualify and route leads] Geraldine Saraus,open,19,0,Y,d661daff-0819-4f76-be03-f4f6ac76ed54,
452,[Qualify and route leads] Jack rodriguez,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
451,Training Form Reyno Sancholes,open,2,0,Y,256c110b-6f23-4d81-bd99-f9fb529fcc81,
450,Palawan Pawnshop,open,1,300000,Y,5f9a571e-3871-4a2e-ac8a-056ba5372ee7,
449,"[Chatbot, Qualify and route leads] Shang Gura",open,6,0,Y,e6c067c8-0fad-4f09-bf74-e0d851f77a46,
448,"[Chatbot, Qualify and route leads] I'm rey",open,6,0,Y,dfdca0a1-893c-4d43-89f1-99e15515b1a9,
447,"[Chatbot, Qualify and route leads] Merry joy banuelos",open,6,0,Y,b03d1eac-5d87-4704-a7fb-87c288560e46,
446,Public AI Training Cherry Mae Rambla,open,33,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 33)"
445,Kraymerart Ecommerce,open,27,600000,Y,273b2de9-4708-40ee-9a96-fe9f6248cf29,
444,Kerry Consulting (Singapore),open,12,0,Y,0322c418-d2f9-4838-9b74-f04f5417a690,
443,VinFast Philippines,open,14,0,Y,90e8f0ee-1f5d-400b-bdd0-285b7dc1c68e,
442,Michelin Philippines,lost,14,0,Y,8576beb9-245e-455a-be10-b99073e92a95,
441,Rustans Ecommerce,lost,21,600000,Y,3071c10e-7df8-4fb0-b4e8-656d7a013cd5,
440,Marketing Services Lead GITIKA SABLOK,open,18,0,Y,f6b866ab-2f32-49bf-8e56-72b6c75c691e,
439,Gino Banson,open,19,180000,Y,1da032ff-00a5-4265-8595-7a2c21016ed8,
438,Casablanca Hotel Legazpi,open,18,180000,Y,6d6d1dd0-62ef-4de6-a310-6339c2e2e3fd,
437,Verjandel Hotel,open,19,180000,Y,9665c2b0-c26a-41eb-bb6d-000816c04dbd,
436,Enderun Hospitality,open,20,1200000,Y,1d538c59-0428-4151-994d-cb93065b76f1,
435,Marketing Services Lead Ivn Maj Nopuente,lost,18,0,Y,412f66a8-eaea-4e8f-86aa-1c97232d439e,
433,HOLIDAY INN MAKATI,open,4,100000,Y,69e274a0-f67f-4a0d-b02b-6b01d42d4b14,
432,Quantrics,open,4,160000,Y,1a34b86b-f619-42a2-937f-c530244f11c2,
431,"[Chatbot, Qualify and route leads] Meta??",lost,1,0,Y,1230fbbd-48e7-4c0f-b344-b5fbb46aea0a,
430,DKSH Philippines (AI Training),won,4,100000,Y,808e1671-cb75-4cef-8c76-cf90d6b3b867,
429,MediaMagnet Innovations,open,5,80000,Y,e6860ff5-3b79-4c12-8433-c58767b4fb01,
428,TTI Laguna Philippines Inc.,lost,2,60000,Y,0b647986-04a8-4ee3-9eb8-2d05c7ef53ec,
427,"[Chatbot, Qualify and route leads] Sunpower PH Ltd",open,2,80000,Y,8dc72eb1-bd37-4182-8799-e691c99b398f,
426,Its the Champs - Youtube Strategy,lost,21,900000,Y,65d86bc4-2f55-4211-b72c-b9a991b8ec04,
425,White & Case LLP,open,4,60000,Y,d742f394-ceff-4ffa-8aa1-6c6295bcc1ac,
424,Total Distributed Generation PH (affiliate of TotalEnergies),open,5,150000,Y,70345a7b-d8ca-4897-b12c-9ad549f40ea3,
423,La Course Velo,open,20,60000,Y,28e594f0-997a-4cf1-a3cc-36078f7531a3,
422,harlan + holden coffee,lost,21,150000,Y,ab83266b-cb59-4527-8529-70c3c7a12db5,
421,Royal Orchid Guam Hotel,open,10,1300000,Y,bb022ff0-6923-439e-a36a-1501fd52383a,
420,Taylors Farm Shop,lost,27,2500000,Y,bbcfa2cf-9e43-47bd-a1c5-5cfa42986d89,
419,Marketing Services Lead Jon Dave Bacong,lost,21,300000,Y,03905260-8999-4d65-9343-231bb3232dc9,
417,KL TOWER RENTAL MANAGEMENT CORPORATION,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
416,Hospitality Innovators Inc. (HII),won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
415,Exchange Regency - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
414,Atlas Circuits,won,32,6720,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
412,Public AI Training Chrystal Aleona Taña,lost,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
411,Public AI Training G.U.L.F. Trading Wireless Solutions Corp.,won,32,3500,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
410,Public AI Training G.U.L.F. Trading Wireless Solutions Corp.,won,32,3500,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
409,Public AI Training Hue Hotel and Resorts,lost,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
408,Public AI Training Hue Hotels & Resorts,lost,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
407,Public AI Training Hue Hotels & Resorts,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
406,Public AI Training HII - Hue Hotels and Resorts,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
405,"[Chatbot, Qualify and route leads] Cagayan Electric Power and Light Company, Inc.",lost,4,0,Y,d2aeb6c1-72cf-47e0-974a-49f3e47fe9dc,
404,Public AI Training HII - Hue Hotels and Resorts,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
403,"Public AI Training Hue Hotels and Resorts - Boracay, Puerto Princesa Palawan and Siargao",won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
402,Public AI Training HII - Hue Hotels and Resorts,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
401,Public AI Training HII - Hue Hotels and Resorts,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
400,Public AI Training HII - Hue Hotels and Resorts,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
399,Public AI Training Charlie's El Nido,won,32,3072,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
398,Public AI Training Charlie's El Nido,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
397,Public AI Training G.U.L.F. Trading Wireless Solutions Corp.,won,32,3500,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
396,White & Case LLP,open,12,0,Y,4b0621e5-f39a-421f-abdf-694b3839dec4,
391,Public AI Training Picasso-Hii,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
390,Public AI Training The Aurora Subic Hotel - Managed by HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
389,Public AI Training TER - HII,won,32,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
388,Public AI Training KL TOWER RENTAL MANAGEMENT CORPORATION,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
387,Public AI Training Jamie Miranda,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
386,Public AI Training Harvest Hotel - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
385,Public AI Training Jessa May Yadyadoc,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
384,Public AI Training The Sphere Serviced Residences - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
383,Public AI Training Y2 Residence Hotel - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
382,Public AI Training Nalu Resorts Inc. (Club Nalu) - HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
381,Public AI Training Y2 Residence Hotel - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
380,Public AI Training The Belamy House,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
379,Public AI Training The Sphere Serviced Residences - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
378,Public AI Training Katherine Zayrel Santillan,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
377,Public AI Training Costa Solana Quezon - HII,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
376,Public AI Training Karla Cristina Sarmiento,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
375,Public AI Training The Sphere Serviced Residences,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
374,Public AI Training The Belamy House,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
373,Public AI Training The Sphere Serviced Residences,won,32,2772,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
372,Public AI Training Picasso-HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
371,Public AI Training Picasso-HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
370,Public AI Training PICASSO-HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
369,Public AI Training Picasso - HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
368,Public AI Training Picasso - HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
366,Public AI Training The Connor Rental Management Corporation - HII,won,32,2800,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
365,Public AI Training Harvest Hotel - HII,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
364,Public AI Training Hospitality Innovators Inc.,won,30,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
363,Marketing Services Lead AshleyPh Marketing,lost,21,300000,Y,2da32a1b-7065-40ea-966c-c9227a8148de,
361,Public AI Training Vincent Cabotaje,won,32,5500,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
358,Marketing Services Lead Amiel Pocholo Sobisol,lost,19,300000,Y,8b4dc2b6-e615-4c05-92b7-49ba347cd1f6,
357,Marketing Services Lead Fernandez Noli,lost,19,300000,Y,6f4062fa-bc38-4d32-8911-fe9966c6a81c,
356,Marketing Services Lead JOBERT PENAFLORIDA,lost,19,300000,Y,e14a1f4d-bff8-4ee7-91c1-1988988d8358,
348,3AM,won,22,165000,Y,46e2455b-e4a6-4a47-ae61-010389c28d70,
346,Public AI Training Zenitsuga,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
344,Philipine Duplicators Inc.,lost,4,100000,Y,1a3d9296-e436-4735-8487-a5f9a209c18c,
343,Public AI Training Mia more,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
342,Public AI Training Dimapalao,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
341,Public AI Training Mcdenvir,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
340,Public AI Training Freelancer,won,32,15000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
339,Public AI Training BDO Unibank,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
338,Public AI Training Rock WBL,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
337,Public AI Training Philippine Health Insurance Corporation,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
336,Public AI Training Jeremy dy,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
335,Public AI Training Freelancer.com Philippines Inc.,won,32,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 32)"
334,Public AI Training Self employed,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
333,Public AI Training Mjyd Heritage lessor,lost,31,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
332,Public AI Training Erika Roman,lost,31,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
331,Public AI Training Jaime Antonio borbon,lost,31,5000,N,,"EXCLUDED PIPELINE (Public AI Training, stage 31)"
330,Marketing Services Lead Jason Paul Carino,won,22,360000,Y,0f3f8f7b-162b-4f73-8ded-7ffc0095e47e,
328,Vista Residences,open,4,162500,Y,d22b9354-df2d-4dfc-b2c3-5d3ff0493757,
327,Marketing Services Lead Zachary Coleman,lost,25,0,Y,ec5ab049-e0e5-4ea4-952b-d4ea962a2a7d,
325,Bridgestone Philippines,lost,21,5000000,Y,e7f0b550-2734-4e72-bd26-bf5774e36d94,
324,Reckitt Benckiser Philipipnes,open,4,1100000,Y,be54021d-1a9e-47c8-9b60-5b17685d7d04,
323,Marketing Services Lead Nick Infanre,lost,21,300000,Y,6546a4bb-dad9-4231-987a-caae7cf7ea9e,
322,1Life Philippines,lost,4,80000,Y,fb9d697c-dd4b-4c4c-9569-7bb77cb200dd,
321,"[Chatbot, Qualify and route leads] Hello",lost,6,0,Y,4e2d0208-cb90-4969-bac6-afa0779e28f1,
320,Marketing Services Lead Monique Lillicrap,won,28,1000000,Y,8b18a7f3-82b2-4e3f-ad08-f90b1316b168,
318,Cordillera Exploration Co. Inc.,lost,4,125000,Y,4df0ef1b-45d4-4212-9a24-51034f83b8e1,
317,Marketing Services Lead Jill Alcoreza,lost,21,300000,Y,df797d5c-3d71-4635-9597-40d743ea74b6,
316,"[Chatbot, Qualify and route leads] Eastgate Group of Companies",lost,1,0,Y,f8763baf-bb61-4383-9d80-eac8b033fae9,
315,Marketing Services Lead Risty olivo,lost,18,300000,Y,fd432c27-c9c0-4b05-9539-cb7599fe5c5a,
314,L&E Global PH,lost,14,300000,Y,81cdcaa3-fa87-4c1d-9cfc-0acb7bf79540,
313,Awaken Deal,won,22,600000,Y,56b1310c-3e05-4369-863d-7ea1c96151ea,
312,Marketing Services Lead Paula Lumbang,lost,19,300000,Y,b69272e6-3be7-4f87-ae5b-28562fe591c9,
311,Microbase Inc. deal,lost,4,130000,Y,c2ab1001-9b6b-45d6-b278-e875e42dc2d4,
310,Coast Boracay,lost,10,300000,Y,761ebeb1-67a0-4435-b11b-ff122e24ef2a,
309,Regulatory & Technical Specialist,open,16,56160,Y,1005f23b-2c83-49b0-b6ae-1a13271d864c,
308,Alca Consumer Goods Trading,lost,20,300000,Y,a23a2aa5-c13d-4f2a-9eed-94b665ef41a8,
306,Manuchar Philippines,won,11,0,Y,9af739c5-8790-484f-b730-f16c6a60640f,
305,Phil Nippon,lost,4,90000,Y,d8bcf42d-ab04-48da-92c4-80ae5124df6f,
304,Finden Techbologies (Sales/AI),lost,4,150000,Y,f62bd78a-9308-4eb7-9ed9-c1f79d9ba2f3,
303,"[Chatbot, Qualify and route leads] elizaandrada837@gmail.com",lost,6,0,Y,f30aefe4-be6f-4aa2-be6d-f72432880fe5,
302,Goldilocks Bakeshop Inc.,lost,23,275000,Y,df2d3d29-eeff-4fc2-894c-968f9f23dc7e,
301,"[Chatbot, Qualify and route leads] Goldilocks Bakeshop Inc.",lost,1,0,Y,3bd8424f-cc1a-477e-bcda-28ddae9f1072,
300,[Qualify and route leads] alex@myangelshomecare.com,lost,18,500000,Y,34ff86f6-fbb6-4034-8cc3-ce3542621df7,
299,Marketing Services Lead Rara Rodora Cayabat Mercado,lost,19,0,Y,4a2dc473-f3fa-4d3e-a70e-1ecbfc7d1b26,
298,Go Global Business Services Inc. (JG Summit),lost,14,300000,Y,bb8c4c57-2c84-4a46-b698-865710627950,
297,Marketing Services Lead Hong Lei,lost,21,200000,Y,5aa63e5c-51c0-46b0-9f0a-36fbe0bb2c85,
296,Marketing Services Lead scott archer,lost,19,0,Y,d556343a-8fe4-4865-8b83-766c6474a6cc,
295,Wastecon Inc.,lost,14,300000,Y,da49662b-c4f6-404d-b719-be6b8d7279eb,
294,Recruitment - Far East Union Investment & Development Inc.,won,17,250000,Y,6c4d3f9a-54f8-4929-8a66-adad77fdeed6,
293,Sales Training - Far East Union Investment & Development Inc.,lost,4,100000,Y,88a6134b-b9bb-4eab-9530-8aa288fe5ced,
292,Marketing Services Lead Lou Cobacha,lost,19,500000,Y,35297515-8f8d-4fca-ae45-26562865be46,
291,Green GSM (Xanh SM),lost,14,0,Y,da4e6a16-88dc-40fd-8c50-401687f96026,
290,Canon Marketing Philippines,open,4,400000,Y,0f01ed58-411b-4f67-aa80-4d48a53f8318,
289,"[Chatbot, Qualify and route leads] 439287411@qq.com",lost,6,0,Y,b316311b-9d6d-451c-b329-e9f99647a350,
288,LinkedIn Event - Lay Bare Waxing,lost,12,0,Y,12e71867-fbf1-4e5d-9e12-c675a9288b97,
287,LinkedIn Event - BNP Paribas,lost,12,0,Y,d2926861-482d-4f92-924a-b752d19dddc2,
286,IDA Automation Inc.,won,17,0,Y,17c77491-2ae1-45dd-9d4d-a48ea0e209da,
285,Xproject Corporation,lost,4,97500,Y,e844ac9c-57ff-4ce6-bbcb-d215bbb32609,
284,HFSS - AHG Hotels and Resorts,open,4,100000,Y,64f44064-d9a8-4bf3-956f-af5e5b463b03,
283,Maxima Machineries lead,won,17,300000,Y,d99beced-fb8d-4cff-95b4-ea653e806f13,
282,Anthem Group,lost,20,0,Y,ceb2dd18-b3fb-41b2-a42e-2f67c9927847,
281,HFSS - Far East Union Investment & Development Inc.,lost,21,905000,Y,558b4da7-fd09-4335-b0f6-86a058747c9b,
280,Oben Group Toyota,open,23,450000,Y,21f91442-c1ba-41aa-8743-22ee05fd9dbb,
278,Madhouse Design Studio deal,lost,4,150000,Y,0600b7af-5ef2-4392-a3be-190e214de875,
277,Primestate Ventures,lost,4,100000,Y,10d22960-58a0-4edc-b148-13e1a389ba51,
276,WNS for ANZ,lost,4,130000,Y,58589c5c-8857-4db1-a8f1-83fc7279d52c,
275,"[Chatbot, Qualify and route leads] amnahamdto@gmail.com",lost,6,0,Y,83f0100a-39aa-4d97-a930-614ae5938d96,
273,ACX Compliance deal,lost,14,0,Y,a4c88a40-5698-4d2b-954f-2b3dbb4bb051,
272,Hospitality Innovators,won,5,90000,Y,a3a91e0e-2bb2-4ca7-96da-c07884c82d0b,
271,Victory Group Supply Chain deal,lost,4,130000,Y,62657043-7b1b-47e9-873d-4c38695132f4,
270,Samahang Basketbol ng Pilipinas,lost,4,65000,Y,724a0d96-1926-421e-a032-4a4de89b3528,
269,Choy's,lost,19,450000,Y,5d3c6c39-eed1-43f9-b441-3b878ad1a4ea,
268,PNB,lost,19,0,Y,61b5b004-33f1-448b-8d01-af49f409f904,
267,Hillside Garden,won,10,360000,Y,d07c5712-489b-4888-b1a6-cfdd35d6a1bc,
266,"International Pharmaceuticals, Inc.",lost,19,0,Y,54fa1da2-11ea-4ebe-b3ea-14343e331cb6,
265,Client Ecommerce,lost,19,450000,Y,2c0bdcb1-a27b-49d4-8171-33a398b9fac7,
264,Mar Reyes,lost,19,0,Y,b0e0514e-2f65-4e69-b014-fb5e70a9caf8,
263,EUROBLADE,lost,19,450000,Y,e9a000dc-a241-41dc-9586-ec940f8a09bb,
262,Casablanca Corporation,lost,7,450000,Y,f2b2ae45-dc6f-4e32-8bc8-06b4a20ec8e6,
261,Anihan Technical School,lost,19,450000,Y,05c27f45-90c8-4c0d-b6e3-1cf508608418,
260,MODERNO PORCELAIN WORKS PHILIPPINES,lost,20,450000,Y,822f1335-5d71-4f00-98ba-6a53ba3d2a0e,
259,Bai Hotel Cebu,lost,7,450000,Y,9b26988a-07be-42e5-83e5-3e38ab9433c3,
258,Center for Culinary Arts,lost,19,450000,Y,2645cd42-7448-4914-b50f-f9ea0b5066d1,
257,e-commerce fulfillment business,lost,1,0,Y,37e299b4-6c1c-421c-8da2-78317b5e43b9,
256,Signature Series,lost,19,450000,Y,c1d54749-18e5-458f-83c7-07056bc7d3e1,
254,Hotel San Marco,lost,7,450000,Y,14825d6d-a063-4c8b-80a4-f4916c480f84,
253,Concept Specialist Inc.,open,23,0,Y,b52d0c4e-016c-4a10-b146-c52362a2cded,
252,Blue Mountain Safety Products,lost,19,450000,Y,9195a7b9-912e-4499-8a39-91f8343aa5a2,
251,RAMPS CORP.,lost,21,300000,Y,da2c79cf-dc92-48cd-8f09-a47db70fc2fb,
250,Fitrite Inc.,lost,19,450000,Y,07df33a3-fbdd-4342-901d-815231b73952,
249,Makati Diamond,lost,7,450000,Y,011fd9f3-2be2-4591-a114-b048c01c60ed,
248,Hotel Laguna,lost,7,450000,Y,00ab75af-a386-42ad-a104-c4bee0a57cb3,
247,ITG / Hexagon Group,lost,19,450000,Y,963303f4-ad63-4ee7-a72b-2a32ded92839,
244,Excellance Beach & Wave Pool Resort,lost,7,450000,Y,e3dc2354-2dab-4ed8-a1be-ab2480a30df4,
243,City Garden Suites Manila,lost,7,450000,Y,ad8c50ac-d1fc-4f43-b776-fc3df2eed531,
242,"Philippine Hotel Owners Association, Inc.",lost,6,0,Y,24994ef1-df1c-44b1-85c7-72302bd43321,
241,Acquatro Suites,lost,7,450000,Y,7ffaf029-d23f-4a10-99c9-161d22d0fabb,
240,Solano Hotel,lost,8,450000,Y,c5830425-5158-466f-bc5a-5fd0b0a22856,
239,City Garden Suites Manila,lost,7,450000,Y,69a40a3b-e7f3-42ea-953e-fc8bfcaa8365,
238,Dear Manok / High Ridge,lost,19,450000,Y,9d547ccf-de5d-4b7a-a950-696b355cff86,
237,O Spa,lost,19,500000,Y,ca6ba1dd-b02e-4d6e-8472-6c4354ca0e94,
236,Lemongrass Philippines deal,lost,20,900000,Y,e28473e1-62c7-4a80-b81b-d82467d00bd2,
235,Recruitment - Pediapharma Inc. lead,lost,14,100000,Y,64356cfd-72bf-42b3-ab51-29df5ba23c4f,
